line,label
"my_object_terminate (MyObject *obj, GError **error)",0
g_main_loop_quit (loop);,0
return TRUE;,0
v8::TryCatch try_catch(isolate);,0
"result->Set(static_cast<uint32_t>(i), child_v8);",0
if (try_catch.HasCaught()),0
? MagickTrue : MagickFalse;,0
TaskService::TaskService(),0
static void IBusBusNameOwnerChangedCallback(,0
"IBusBus* bus,",0
"const gchar* name, const gchar* old_name, const gchar* new_name,",0
DCHECK(new_name);,0
"DLOG(INFO) << ""Name owner is changed: name="" << name",0
"LOG(INFO) << ""IBus config daemon is started. Recovering ibus_config_"";",0
g_return_if_fail(user_data);,0
InputMethodStatusConnection* self,0
if (command_) {,0
PowerLibrary* CrosLibrary::GetPowerLibrary() {,0
return power_lib_.GetDefaultImpl(use_stub_impl_);,0
if ((ret & VM_FAULT_WRITE) && !(vma->vm_flags & VM_WRITE)),0
static int __init acpi_custom_method_init(void),0
if (!acpi_debugfs_dir),0
return -ENOENT;,0
"cm_dentry = debugfs_create_file(""custom_method"", S_IWUSR,",0
"acpi_debugfs_dir, NULL, &cm_fops);",0
if (!cm_dentry),0
return -ENODEV;,0
void BluetoothDeviceChromeOS::DisplayPasskey(,0
"const dbus::ObjectPath& device_path,",0
"uint32 passkey,",0
uint16 entered) {,0
DCHECK(agent_.get());,0
DCHECK(device_path == object_path_);,0
"VLOG(1) << object_path_.value() << "": DisplayPasskey: "" << passkey",0
"<< "" ("" << entered << "" entered)"";",0
if (entered == 0),0
"UMA_HISTOGRAM_ENUMERATION(""Bluetooth.PairingMethod"",",0
"UMA_PAIRING_METHOD_DISPLAY_PASSKEY,",0
UMA_PAIRING_METHOD_COUNT);,0
DCHECK(pairing_delegate_);,0
"pairing_delegate_->DisplayPasskey(this, passkey);",0
"pairing_delegate_->KeysEntered(this, entered);",0
pairing_delegate_used_ = true;,0
", m_client(client)",0
*/,0
const Track* Tracks::GetTrackByNumber(long tn) const,0
if (tn < 0),0
return NULL;,0
Track** i = m_trackEntries;,0
Track** const j = m_trackEntriesEnd;,0
while (i != j),0
Track* const pTrack = *i++;,0
if (pTrack == NULL),0
if (tn == pTrack->GetNumber()),0
return pTrack;,0
return NULL;  //not found,0
pos += size;  // consume payload,0
void ExtensionTtsController::SpeakNextUtterance() {,0
while (!utterance_queue_.empty() && !current_utterance_) {,0
Utterance* utterance = utterance_queue_.front();,0
utterance_queue_.pop();,0
SpeakNow(utterance);,0
FilePath full_path;,0
oldXPContextSize = xpctxt->contextSize;,0
/*,0
* Set up XPath.,0
"if (zend_parse_parameters_ex(ZEND_PARSE_PARAMS_QUIET, ZEND_NUM_ARGS(), ""sr"", &fname, &fname_len, &zresource) == FAILURE",0
init_flags_ = VPX_CODEC_USE_PSNR;,0
"serial->len = MIN(priv->cac_id_len, SC_MAX_SERIALNR);",0
if (exec->argumentCount() < 2),0
long Cluster::CreateSimpleBlock(,0
"long long st,",0
long long sz),0
assert(m_entries_count < m_entries_size);,0
const long idx = m_entries_count;,0
BlockEntry** const ppEntry = m_entries + idx;,0
BlockEntry*& pEntry = *ppEntry;,0
"pEntry = new (std::nothrow) SimpleBlock(this, idx, st, sz);",0
if (pEntry == NULL),0
return -1;  //generic error,0
SimpleBlock* const p = static_cast<SimpleBlock*>(pEntry);,0
const long status = p->Parse();,0
if (status == 0),0
++m_entries_count;,0
delete pEntry;,0
pEntry = 0;,0
prediction->requests.emplace_back(,0
ULONG udpDataStart = ipHeaderSize + sizeof(UDPHeader);,0
"if ((*sp->decoderow)(tif, op0, occ0, s)) {",0
"(*sp->decodepfunc)(tif, op0, occ0);",0
"void MediaStreamManager::CancelAllRequests(int render_process_id,",0
if (request_it->second->requesting_process_id != render_process_id ||,0
base::SharedMemoryHandle memory_handle;,0
const MojoResult result =,0
"mojo::UnwrapSharedMemoryHandle(std::move(buffer_handle), &memory_handle,",0
#ifdef ACPI_EXEC_APP,0
ACPI_OPERAND_OBJECT     *Prev;,0
ACPI_OPERAND_OBJECT     *Next;,0
Next = AcpiGbl_ModuleCodeList;,0
while (Next),0
Prev = Next;,0
Next = Next->Method.Mutex;,0
Prev->Method.Mutex = NULL; /* Clear the Mutex (cheated) field *,0
AcpiUtRemoveReference (Prev);,0
"TIFFReadRGBAImage(tif, width, height, buffer, 0);",0
for(y = 0; y < height; y++) {,0
for(x = 0; x < width; x++) {,0
"/* if it doesn't already exist, allocate a new colour,",0
* else use existing one *,0
rgba = buffer[(y * width + x)];,0
a = (0xff - TIFFGetA(rgba)) / 2;,0
"color = gdTrueColorAlpha(TIFFGetR(rgba), TIFFGetG(rgba), TIFFGetB(rgba), a);",0
/* set pixel colour to this colour *,0
"gdImageAlphaBlending(im, alphaBlendingFlag);",0
page = pte_page(pte);,0
geom.window_rect = plugin_rect_;,0
DCHECK_CURRENTLY_ON(BrowserThread::UI);,0
if (PageDirty(page)) {,0
clear_page_dirty_for_io(page);,0
"* Want to mark the page and the radix tree as dirty, and",0
"* redo the accounting that clear_page_dirty_for_io undid,",0
* but we can't use set_page_dirty because that function,0
* is actually a signal that all of the page has become dirty.,0
* Whereas only part of our page may be dirty.,0
*,0
if (PageSwapBacked(page)),0
SetPageDirty(newpage);,0
__set_page_dirty_nobuffers(newpage);,0
for (int i = 0; i < count_test_block; ++i) {,0
"DECLARE_ALIGNED_ARRAY(16, int16_t, test_input_block, kNumCoeffs);",0
"DECLARE_ALIGNED_ARRAY(16, int16_t, test_temp_block, kNumCoeffs);",0
"DECLARE_ALIGNED_ARRAY(16, uint8_t, dst, kNumCoeffs);",0
for (int j = 0; j < kNumCoeffs; ++j) {,0
src[j] = rnd.Rand8();,0
dst[j] = rnd.Rand8();,0
"REGISTER_STATE_CHECK(RunFwdTxfm(test_input_block,",0
"test_temp_block, pitch_));",0
"void AddChunk(const TransformPaintPropertyNode* t,",0
"const ClipPaintPropertyNode* c,",0
atomic_inc(&key->user->nikeys);,0
key->reject_error = -error;,0
smp_wmb();,0
"set_bit(KEY_FLAG_NEGATIVE, &key->flags);",0
SkRegion* region = new SkRegion;,0
int blobIndex = -1;,0
if (spdy_proxy_auth_enabled_.GetPrefName().empty()),0
return false;,0
"ret = security_file_permission(file, MAY_READ);",0
if (unlikely(ret)),0
"ret = security_file_permission(file, MAY_WRITE);",0
};,0
struct page *localpage = NULL;,0
if (buflen < PAGE_SIZE) {,0
"/* As long as we're doing a round trip to the server anyway,",0
* let's be prepared for a page of acl data. *,0
localpage = alloc_page(GFP_KERNEL);,0
resp_buf = page_address(localpage);,0
if (localpage == NULL),0
return -ENOMEM;,0
args.acl_pages[0] = localpage;,0
args.acl_pgbase = 0;,0
args.acl_len = PAGE_SIZE;,0
resp_buf = buf;,0
goto out_free;,0
if (res.acl_len > args.acl_len),0
ret = -ERANGE;,0
if (localpage),0
out_free:,0
if (container_),0
"int quote_open = 0, escaped = 0, param_len = 0;",0
if (escaped) {,0
case '\n':,0
param_buffer[param_len++] = *curchar;,0
if (param_len >= sizeof(param_buffer)),0
"xtables_error(PARAMETER_PROBLEM,",0
if ((param_buffer[0] == '-' &&,0
param_buffer[1] != '-' &&,0
"strchr(param_buffer, 't')) ||",0
"(!strncmp(param_buffer, ""--t"", 3) &&",0
